date,type,entry_time,entry_price,sl,tp,status,trailing_active,exit_time,exit_price,reason,pnl,pnl_pct
2020-01-01,sell,2020-01-01 04:55:00,7192.611895,7392.611895,6492.611895,closed,True,2020-01-01 13:40:00,7212.81,TimeExit,-20.198105000000396,-0.2800310142649032
2020-01-02,sell,2020-01-02 07:05:00,7080.208125,7380.208125,6380.208125,closed,False,2020-01-02 13:40:00,7100.29,TimeExit,-20.081874999999854,-0.28283175757609635
2020-01-03,buy,2020-01-03 04:05:00,6958.267395,6758.267395,7658.267395,closed,True,2020-01-03 13:40:00,7322.955,TimeExit,364.6876050000001,5.2410691383038
2020-01-04,buy,2020-01-04 05:20:00,7342.949639999999,7042.949639999999,8042.949639999999,closed,False,2020-01-04 13:40:00,7304.9400000000005,TimeExit,-38.0096399999984,-0.5176344910898578
2020-01-05,buy,2020-01-05 04:00:00,7477.591927499999,7177.591927499999,8177.591927499999,closed,False,2020-01-05 13:40:00,7432.335,TimeExit,-45.25692749999871,-0.6052339835978415
2020-01-07,sell,2020-01-07 04:15:00,7884.365845,8084.365845,7184.365845,closed,True,2020-01-07 13:40:00,7840.955,TimeExit,43.410845000000336,0.5536423178044148
2020-01-09,sell,2020-01-09 04:10:00,7927.7891225,8127.7891225,7227.7891225,closed,True,2020-01-09 13:40:00,7910.995000000001,TimeExit,16.794122499999503,0.21228837206950235
2020-01-10,sell,2020-01-10 05:35:00,7756.694712500001,7956.694712500001,7056.694712500001,closed,True,2020-01-10 13:40:00,7911.675,TimeExit,-154.98028749999958,-1.9588808627755805
2020-01-11,sell,2020-01-11 04:20:00,8125.0004675,8325.0004675,7425.0004675,closed,True,2020-01-11 13:40:00,8068.045,TimeExit,56.95546749999994,0.7059388922595167
2020-01-12,buy,2020-01-12 06:00:00,8104.600275,7904.600275,8804.600275,closed,True,2020-01-12 13:40:00,8133.515,TimeExit,28.914725000000544,0.35676929174648375
2020-01-13,sell,2020-01-13 05:35:00,8078.158900000001,8278.158900000002,7378.158900000001,closed,True,2020-01-13 13:40:00,8078.155,TimeExit,0.0039000000015221303,4.827835071719022e-05
2020-01-14,buy,2020-01-14 04:00:00,8474.825295,8274.825295,9174.825295,closed,True,2020-01-14 13:40:00,8533.52,TimeExit,58.694704999999885,0.6925771677515069
2020-01-15,sell,2020-01-15 04:00:00,8711.042300000001,8911.042300000001,8011.042300000001,closed,True,2020-01-15 13:40:00,8790.145,TimeExit,-79.10269999999946,-0.8999021062792378
2020-01-16,buy,2020-01-16 05:30:00,8676.696179999999,8476.696179999999,9376.696179999999,closed,True,2020-01-16 13:40:00,8687.73,TimeExit,11.03382000000056,0.1271661444759875
2020-01-17,buy,2020-01-17 05:20:00,8824.645117499998,8624.645117499998,9524.645117499998,closed,True,2020-01-17 13:40:00,8827.92,TimeExit,3.274882500001695,0.03711064248359541
2020-01-18,sell,2020-01-18 04:05:00,8887.404075,9087.404075,8187.404075,closed,True,2020-01-18 13:40:00,8918.105,TimeExit,-30.700924999999188,-0.34425390820134183
2020-01-19,sell,2020-01-19 04:05:00,9120.477480000001,9320.477480000001,8420.477480000001,closed,True,2020-01-19 13:40:00,8615.39,TimeExit,505.08748000000196,5.862618871577507
